Problem Name,Problem Description,Solution
Maximum Number of Removable Characters,"###  1898\. Maximum Number of Removable Characters\n\nYou are given two strings `s` and `p` where `p` is a **subsequence** of `s`.\nYou are also given a **distinct 0-indexed** integer array `removable`\ncontaining a subset of indices of `s` (`s` is also **0-indexed**).\n\nYou want to choose an integer `k` (`0 <= k <= removable.length`) such that\nafter removing `k` characters from `s` using the **first** `k` indices in\n`removable` `p` is still a **subsequence** of `s`. More formally you will\nmark the character at `s[removable[i]]` for each `0 <= i < k` then remove all\nmarked characters and check if `p` is still a subsequence.\n\nReturn _the**maximum** _`k` _you can choose such that_`p` _is still\na**subsequence** of _`s` _after the removals_.\n\nA **subsequence** of a string is a new string generated from the original\nstring with some characters (can be none) deleted without changing the\nrelative order of the remaining characters.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** s = ""abcacb"" p = ""ab"" removable = [310]\n    **Output:** 2\n    **Explanation** : After removing the characters at indices 3 and 1 ""a~~**b**~~ c~~**a**~~ cb"" becomes ""accb"".\n    ""ab"" is a subsequence of ""**_a_** cc** _b_** "".\n    If we remove the characters at indices 3 1 and 0 ""~~**ab**~~ c~~**a**~~ cb"" becomes ""ccb"" and ""ab"" is no longer a subsequence.\n    Hence the maximum k is 2.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** s = ""abcbddddd"" p = ""abcd"" removable = [321456]\n    **Output:** 1\n    **Explanation** : After removing the character at index 3 ""abc~~**b**~~ ddddd"" becomes ""abcddddd"".\n    ""abcd"" is a subsequence of ""_**abcd**_ dddd"".\n    \n\n**Example 3:**\n\n    \n    \n    **Input:** s = ""abcab"" p = ""abc"" removable = [01234]\n    **Output:** 0\n    **Explanation** : If you remove the first index in the array removable ""abc"" is no longer a subsequence.\n    \n\n\n\n**Constraints:**\n\n  * `1 <= p.length <= s.length <= 105`\n  * `0 <= removable.length < s.length`\n  * `0 <= removable[i] < s.length`\n  * `p` is a **subsequence** of `s`.\n  * `s` and `p` both consist of lowercase English letters.\n  * The elements in `removable` are **distinct**.\n\n",// Runtime: 957 ms (Top 98.8%) | Memory: 28.80 MB (Top 96.39%)\n\nclass Solution:\n    def maximumRemovals(self s: str p: str removable: List[int]) -> int:\n        l r = 0 len(removable)\n\n        def isEnough(k):\n            s_arr = list(s)\n            for i in removable[:k]:\n                s_arr[i] = ''\n            return isSubsequence(p s_arr)\n            \n        def isSubsequence(s t):\n            t = iter(t)\n            return all(c in t for c in s)\n\n        while l < r:\n            m = (l+r+1)//2\n            if isEnough(m):\n                l = m\n            else:\n                r = m - 1\n        \n        return l\n
Maximum Number of Visible Points,###  1610\. Maximum Number of Visible Points\n\nYou are given an array `points` an integer `angle` and your `location`\nwhere `location = [posx posy]` and `points[i] = [xi yi]` both denote\n**integral coordinates** on the X-Y plane.\n\nInitially you are facing directly east from your position. You **cannot\nmove** from your position but you can **rotate**. In other words `posx` and\n`posy` cannot be changed. Your field of view in **degrees** is represented by\n`angle` determining how wide you can see from any given view direction. Let\n`d` be the amount in degrees that you rotate counterclockwise. Then your\nfield of view is the **inclusive** range of angles `[d - angle/2 d +\nangle/2]`.\n\nYour browser does not support the video tag or this video format.\n\nYou can **see** some set of points if for each point the **angle** formed by\nthe point your position and the immediate east direction from your position\nis **in your field of view**.\n\nThere can be multiple points at one coordinate. There may be points at your\nlocation and you can always see these points regardless of your rotation.\nPoints do not obstruct your vision to other points.\n\nReturn _the maximum number of points you can see_.\n\n\n\n**Example 1:**\n\n![](https://assets.leetcode.com/uploads/2020/09/30/89a07e9b-00ab-4967-976a-c723b2aa8656.png)\n\n    \n    \n    **Input:** points = [[21][22][33]] angle = 90 location = [11]\n    **Output:** 3\n    **Explanation:** The shaded region represents your field of view. All points can be made visible in your field of view including [33] even though [22] is in front and in the same line of sight.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** points = [[21][22][34][11]] angle = 90 location = [11]\n    **Output:** 4\n    **Explanation:** All points can be made visible in your field of view including the one at your location.\n    \n\n**Example 3:**\n\n![](https://assets.leetcode.com/uploads/2020/09/30/5010bfd3-86e6-465f-ac64-e9df941d2e49.png)\n\n    \n    \n    **Input:** points = [[10][21]] angle = 13 location = [11]\n    **Output:** 1\n    **Explanation:** You can only see one of the two points as shown above.\n    \n\n\n\n**Constraints:**\n\n  * `1 <= points.length <= 105`\n  * `points[i].length == 2`\n  * `location.length == 2`\n  * `0 <= angle < 360`\n  * `0 <= posx posy xi yi <= 100`\n\n,# Runtime: 5206 ms (Top 8.11%) | Memory: 46.3 MB (Top 98.26%)\nclass Solution:\n    def visiblePoints(self points: List[List[int]] angle: int location: List[int]) -> int:\n\n        arr extra = [] 0\n        xx yy = location\n\n        for x y in points:\n            if x == xx and y == yy:\n                extra += 1\n                continue\n            arr.append(math.atan2(y - yy x - xx))\n\n        arr.sort()\n        arr = arr + [x + 2.0 * math.pi for x in arr]\n        angle = math.pi * angle / 180\n\n        l = ans = 0\n        for r in range(len(arr)):\n            while arr[r] - arr[l] > angle:\n                l += 1\n            ans = max(ans r - l + 1)\n\n        return ans + extra
Maximum Number of Vowels in a Substring of Given Length,"###  1456\. Maximum Number of Vowels in a Substring of Given Length\n\nGiven a string `s` and an integer `k` return _the maximum number of vowel\nletters in any substring of_`s` _with length_`k`.\n\n**Vowel letters** in English are `'a'` `'e'` `'i'` `'o'` and `'u'`.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** s = ""abciiidef"" k = 3\n    **Output:** 3\n    **Explanation:** The substring ""iii"" contains 3 vowel letters.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** s = ""aeiou"" k = 2\n    **Output:** 2\n    **Explanation:** Any substring of length 2 contains 2 vowels.\n    \n\n**Example 3:**\n\n    \n    \n    **Input:** s = ""leetcode"" k = 3\n    **Output:** 2\n    **Explanation:** ""lee"" ""eet"" and ""ode"" contain 2 vowels.\n    \n\n\n\n**Constraints:**\n\n  * `1 <= s.length <= 105`\n  * `s` consists of lowercase English letters.\n  * `1 <= k <= s.length`\n\n",class Solution:\n    def maxVowels(self s: str k: int) -> int:\n        \n        def find_count_vowels(string):\n            lst_vowels= ['a' 'e' 'i' 'o' 'u']\n            c=0\n            for i in string:\n                if i in lst_vowels:\n                    c+=1\n            return c\n            \n        \n        lst_vowels= ['a' 'e' 'i' 'o' 'u']\n        if k>len(s):\n            return find_count_vowels(s)\n        dp = [0]*(len(s)-k+1)\n        dp[0] = find_count_vowels(s[:k])\n        for i in range(1len(s)-k+1):\n            \n           \n            if s[i-1] in lst_vowels and s[i+k-1] in lst_vowels:\n                dp[i] = dp[i-1]\n            elif s[i-1] in lst_vowels and s[i+k-1] not in lst_vowels:\n                dp[i] = dp[i-1] - 1\n\n            elif s[i-1] not in lst_vowels and s[i+k-1] in lst_vowels:\n                dp[i] = dp[i-1] + 1\n            else:\n                dp[i] = dp[i-1]\n        return max(dp)\n                \n
Maximum Number of Ways to Partition an Array,###  2025\. Maximum Number of Ways to Partition an Array\n\nYou are given a **0-indexed** integer array `nums` of length `n`. The number\nof ways to **partition** `nums` is the number of `pivot` indices that satisfy\nboth conditions:\n\n  * `1 <= pivot < n`\n  * `nums[0] + nums[1] + ... + nums[pivot - 1] == nums[pivot] + nums[pivot + 1] + ... + nums[n - 1]`\n\nYou are also given an integer `k`. You can choose to change the value of\n**one** element of `nums` to `k` or to leave the array **unchanged**.\n\nReturn _the**maximum** possible number of ways to **partition** _`nums` _to\nsatisfy both conditions after changing**at most** one element_.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** nums = [2-12] k = 3\n    **Output:** 1\n    **Explanation:** One optimal approach is to change nums[0] to k. The array becomes [**_3_** -12].\n    There is one way to partition the array:\n    - For pivot = 2 we have the partition [3-1 | 2]: 3 + -1 == 2.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** nums = [000] k = 1\n    **Output:** 2\n    **Explanation:** The optimal approach is to leave the array unchanged.\n    There are two ways to partition the array:\n    - For pivot = 1 we have the partition [0 | 00]: 0 == 0 + 0.\n    - For pivot = 2 we have the partition [00 | 0]: 0 + 0 == 0.\n    \n\n**Example 3:**\n\n    \n    \n    **Input:** nums = [224-25-20-1515-16719-100-13-14] k = -33\n    **Output:** 4\n    **Explanation:** One optimal approach is to change nums[2] to k. The array becomes [224_**-33**_ -20-1515-16719-100-13-14].\n    There are four ways to partition the array.\n    \n\n\n\n**Constraints:**\n\n  * `n == nums.length`\n  * `2 <= n <= 105`\n  * `-105 <= k nums[i] <= 105`\n\n,# Runtime: 3346 ms (Top 89.52%) | Memory: 46.9 MB (Top 30.64%)\nclass Solution:\n    def waysToPartition(self nums: List[int] k: int) -> int:\n        prefix_sums = list(accumulate(nums))\n        total_sum = prefix_sums[-1]\n        best = 0\n        if total_sum % 2 == 0:\n            best = prefix_sums[:-1].count(total_sum // 2) # If no change\n\n        after_counts = Counter(total_sum - 2 * prefix_sum\n                               for prefix_sum in prefix_sums[:-1])\n        before_counts = Counter()\n\n        best = max(best after_counts[k - nums[0]]) # If we change first num\n\n        for prefix x in zip(prefix_sums nums[1:]):\n            gap = total_sum - 2 * prefix\n            after_counts[gap] -= 1\n            before_counts[gap] += 1\n\n            best = max(best after_counts[k - x] + before_counts[x - k])\n\n        return best
Maximum Number of Weeks for Which You Can Work,###  1953\. Maximum Number of Weeks for Which You Can Work\n\nThere are `n` projects numbered from `0` to `n - 1`. You are given an integer\narray `milestones` where each `milestones[i]` denotes the number of milestones\nthe `ith` project has.\n\nYou can work on the projects following these two rules:\n\n  * Every week you will finish **exactly one** milestone of **one** project. You **must**  work every week.\n  * You **cannot** work on two milestones from the same project for two **consecutive** weeks.\n\nOnce all the milestones of all the projects are finished or if the only\nmilestones that you can work on will cause you to violate the above rules you\nwill **stop working**. Note that you may not be able to finish every project's\nmilestones due to these constraints.\n\nReturn _the**maximum** number of weeks you would be able to work on the\nprojects without violating the rules mentioned above_.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** milestones = [123]\n    **Output:** 6\n    **Explanation:** One possible scenario is:\n    ​​​​- During the 1st week you will work on a milestone of project 0.\n    - During the 2nd week you will work on a milestone of project 2.\n    - During the 3rd week you will work on a milestone of project 1.\n    - During the 4th week you will work on a milestone of project 2.\n    - During the 5th week you will work on a milestone of project 1.\n    - During the 6th week you will work on a milestone of project 2.\n    The total number of weeks is 6.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** milestones = [521]\n    **Output:** 7\n    **Explanation:** One possible scenario is:\n    - During the 1st week you will work on a milestone of project 0.\n    - During the 2nd week you will work on a milestone of project 1.\n    - During the 3rd week you will work on a milestone of project 0.\n    - During the 4th week you will work on a milestone of project 1.\n    - During the 5th week you will work on a milestone of project 0.\n    - During the 6th week you will work on a milestone of project 2.\n    - During the 7th week you will work on a milestone of project 0.\n    The total number of weeks is 7.\n    Note that you cannot work on the last milestone of project 0 on 8th week because it would violate the rules.\n    Thus one milestone in project 0 will remain unfinished.\n    \n\n\n\n**Constraints:**\n\n  * `n == milestones.length`\n  * `1 <= n <= 105`\n  * `1 <= milestones[i] <= 109`\n\n,# Runtime: 1032 ms (Top 59.60%) | Memory: 25.7 MB (Top 80.23%)\nclass Solution:\n    def numberOfWeeks(self m: List[int]) -> int:\n        return min(sum(m) 2 * (sum(m) - max(m)) + 1)
Maximum Number of Words Found in Sentences,"###  2114\. Maximum Number of Words Found in Sentences\n\nA **sentence** is a list of **words** that are separated by a single space\nwith no leading or trailing spaces.\n\nYou are given an array of strings `sentences` where each `sentences[i]`\nrepresents a single **sentence**.\n\nReturn _the**maximum number of words** that appear in a single sentence_.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** sentences = [""alice and bob love leetcode"" ""i think so too"" _""this is great thanks very much""_]\n    **Output:** 6\n    **Explanation:** \n    - The first sentence ""alice and bob love leetcode"" has 5 words in total.\n    - The second sentence ""i think so too"" has 4 words in total.\n    - The third sentence ""this is great thanks very much"" has 6 words in total.\n    Thus the maximum number of words in a single sentence comes from the third sentence which has 6 words.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** sentences = [""please wait"" _""continue to fight""_  _""continue to win""_]\n    **Output:** 3\n    **Explanation:** It is possible that multiple sentences contain the same number of words. \n    In this example the second and third sentences (underlined) have the same number of words.\n    \n\n\n\n**Constraints:**\n\n  * `1 <= sentences.length <= 100`\n  * `1 <= sentences[i].length <= 100`\n  * `sentences[i]` consists only of lowercase English letters and `' '` only.\n  * `sentences[i]` does not have leading or trailing spaces.\n  * All the words in `sentences[i]` are separated by a single space.\n\n","// Runtime: 43 ms (Top 84.42%) | Memory: 16.70 MB (Top 56.32%)\n\nclass Solution:\n    def mostWordsFound(self sentences: List[str]) -> int:\n        mx=0\n        for i in sentences:\n            c=i.split()\n            if len(c)>mx:\n                mx=len(c)\n        return mx\n		\n"
Maximum Number of Words You Can Type,"###  1935\. Maximum Number of Words You Can Type\n\nThere is a malfunctioning keyboard where some letter keys do not work. All\nother keys on the keyboard work properly.\n\nGiven a string `text` of words separated by a single space (no leading or\ntrailing spaces) and a string `brokenLetters` of all **distinct** letter keys\nthat are broken return _the**number of words** in_ `text` _you can fully type\nusing this keyboard_.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** text = ""hello world"" brokenLetters = ""ad""\n    **Output:** 1\n    **Explanation:** We cannot type ""world"" because the 'd' key is broken.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** text = ""leet code"" brokenLetters = ""lt""\n    **Output:** 1\n    **Explanation:** We cannot type ""leet"" because the 'l' and 't' keys are broken.\n    \n\n**Example 3:**\n\n    \n    \n    **Input:** text = ""leet code"" brokenLetters = ""e""\n    **Output:** 0\n    **Explanation:** We cannot type either word because the 'e' key is broken.\n    \n\n\n\n**Constraints:**\n\n  * `1 <= text.length <= 104`\n  * `0 <= brokenLetters.length <= 26`\n  * `text` consists of words separated by a single space without any leading or trailing spaces.\n  * Each word only consists of lowercase English letters.\n  * `brokenLetters` consists of **distinct** lowercase English letters.\n\n","class Solution:\n    def canBeTypedWords(self text: str brokenLetters: str) -> int:\n        text = text.split()\n        length = len(text)\n        brokenLetters = set(brokenLetters)\n\n        for word in text:\n            for char in word:\n                if char in brokenLetters:\n                    length -= 1\n                    break\n					\n        return length\n"
Maximum of Absolute Value Expression,###  1131\. Maximum of Absolute Value Expression\n\nGiven two arrays of integers with equal lengths return the maximum value of:\n\n`|arr1[i] - arr1[j]| + |arr2[i] - arr2[j]| + |i - j|`\n\nwhere the maximum is taken over all `0 <= i j < arr1.length`.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** arr1 = [1234] arr2 = [-1456]\n    **Output:** 13\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** arr1 = [1-2-5010] arr2 = [0-2-1-7-4]\n    **Output:** 20\n    \n\n\n\n**Constraints:**\n\n  * `2 <= arr1.length == arr2.length <= 40000`\n  * `-10^6 <= arr1[i] arr2[i] <= 10^6`\n\n,"class Solution(object):\n    def maxAbsValExpr(self arr1 arr2):\n        """"""\n        :type arr1: List[int]\n        :type arr2: List[int]\n        :rtype: int\n        """"""\n        max_pppmax_ppmmax_pmpmax_pmm=float('-inf')float('-inf')float('-inf')float('-inf')\n        min_pppmin_ppmmin_pmpmin_pmm=float('inf')float('inf')float('inf')float('inf')\n        for i(ab) in enumerate(zip(arr1arr2)):\n            ppp=a+b+i\n            if ppp>max_ppp:max_ppp=ppp\n            if ppp<min_ppp:min_ppp=ppp\n            ppm=a+b-i\n            if ppm>max_ppm:max_ppm=ppm\n            if ppm<min_ppm:min_ppm=ppm\n            pmp=a-b+i\n            if pmp>max_pmp:max_pmp=pmp\n            if pmp<min_pmp:min_pmp=pmp\n            pmm=a-b-i\n            if pmm>max_pmm:max_pmm=pmm\n            if pmm<min_pmm:min_pmm=pmm\n        return max(max_ppp-min_pppmax_ppm-min_ppmmax_pmp-min_pmpmax_pmm-min_pmm)   \n"
Maximum Path Quality of a Graph,###  2065\. Maximum Path Quality of a Graph\n\nThere is an **undirected** graph with `n` nodes numbered from `0` to `n - 1`\n(**inclusive**). You are given a **0-indexed** integer array `values` where\n`values[i]` is the **value** of the `ith` node. You are also given a\n**0-indexed** 2D integer array `edges` where each `edges[j] = [uj vj\ntimej]` indicates that there is an undirected edge between the nodes `uj` and\n`vj` and it takes `timej` seconds to travel between the two nodes. Finally\nyou are given an integer `maxTime`.\n\nA **valid** **path** in the graph is any path that starts at node `0` ends at\nnode `0` and takes **at most** `maxTime` seconds to complete. You may visit\nthe same node multiple times. The **quality** of a valid path is the **sum**\nof the values of the **unique nodes** visited in the path (each node's value\nis added **at most once** to the sum).\n\nReturn _the**maximum** quality of a valid path_.\n\n**Note:** There are **at most four** edges connected to each node.\n\n\n\n**Example 1:**\n\n![](https://assets.leetcode.com/uploads/2021/10/19/ex1drawio.png)\n\n    \n    \n    **Input:** values = [0321043] edges = [[0110][1215][0310]] maxTime = 49\n    **Output:** 75\n    **Explanation:**\n    One possible path is 0 -> 1 -> 0 -> 3 -> 0. The total time taken is 10 + 10 + 10 + 10 = 40 <= 49.\n    The nodes visited are 0 1 and 3 giving a maximal path quality of 0 + 32 + 43 = 75.\n    \n\n**Example 2:**\n\n![](https://assets.leetcode.com/uploads/2021/10/19/ex2drawio.png)\n\n    \n    \n    **Input:** values = [5101520] edges = [[0110][1210][0310]] maxTime = 30\n    **Output:** 25\n    **Explanation:**\n    One possible path is 0 -> 3 -> 0. The total time taken is 10 + 10 = 20 <= 30.\n    The nodes visited are 0 and 3 giving a maximal path quality of 5 + 20 = 25.\n    \n\n**Example 3:**\n\n![](https://assets.leetcode.com/uploads/2021/10/19/ex31drawio.png)\n\n    \n    \n    **Input:** values = [1234] edges = [[0110][1211][2312][1313]] maxTime = 50\n    **Output:** 7\n    **Explanation:**\n    One possible path is 0 -> 1 -> 3 -> 1 -> 0. The total time taken is 10 + 13 + 13 + 10 = 46 <= 50.\n    The nodes visited are 0 1 and 3 giving a maximal path quality of 1 + 2 + 4 = 7.\n    \n\n\n\n**Constraints:**\n\n  * `n == values.length`\n  * `1 <= n <= 1000`\n  * `0 <= values[i] <= 108`\n  * `0 <= edges.length <= 2000`\n  * `edges[j].length == 3 `\n  * `0 <= uj < vj <= n - 1`\n  * `10 <= timej maxTime <= 100`\n  * All the pairs `[uj vj]` are **unique**.\n  * There are **at most four** edges connected to each node.\n  * The graph may not be connected.\n\n,"class Solution:\n    def maximalPathQuality(self values: List[int] edges: List[List[int]] maxTime: int) -> int:\n        graph = defaultdict(list)\n		# build graph\n        for edge in edges:\n            graph[edge[0]].append((edge[1] edge[2]))\n            graph[edge[1]].append((edge[0] edge[2]))\n        \n        q = deque()\n        q.append((0 0 values[0] set([0])))\n        cache = {}\n        maxPoint = 0\n		\n        while q:\n            currV currTime currPoints currSet = q.popleft()\n            if currV in cache:\n				# if vertex has been visited and if the previousTime is \n				# less or equal to current time but current points is lower?\n				# then this path can't give us better quality so stop proceeding.\n                prevTime prevPoints = cache[currV]\n                if prevTime <= currTime and prevPoints > currPoints:\n                    continue\n            cache[currV] = (currTime currPoints)\n			# can't go over the maxTime limit\n            if currTime > maxTime:\n                continue\n			# collect maxPoint only if current vertex is 0\n            if currV == 0:\n                maxPoint = max(maxPoint currPoints)\n            for neigh neighTime in graph[currV]:\n                newSet = currSet.copy()\n				# collects quality only if not collected before\n                if neigh not in currSet:\n                    newSet.add(neigh)\n                    newPoint = currPoints + values[neigh]\n                else:\n                    newPoint = currPoints\n                q.append((neigh currTime + neighTime newPoint newSet))\n        return maxPoint\n"
Maximum Performance of a Team,###  1383\. Maximum Performance of a Team\n\nYou are given two integers `n` and `k` and two integer arrays `speed` and\n`efficiency` both of length `n`. There are `n` engineers numbered from `1` to\n`n`. `speed[i]` and `efficiency[i]` represent the speed and efficiency of the\n`ith` engineer respectively.\n\nChoose **at most** `k` different engineers out of the `n` engineers to form a\nteam with the maximum **performance**.\n\nThe performance of a team is the sum of their engineers' speeds multiplied by\nthe minimum efficiency among their engineers.\n\nReturn _the maximum performance of this team_. Since the answer can be a huge\nnumber return it **modulo** `109 + 7`.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** n = 6 speed = [2103158] efficiency = [543972] k = 2\n    **Output:** 60\n    **Explanation:** \n    We have the maximum performance of the team by selecting engineer 2 (with speed=10 and efficiency=4) and engineer 5 (with speed=5 and efficiency=7). That is performance = (10 + 5) * min(4 7) = 60.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** n = 6 speed = [2103158] efficiency = [543972] k = 3\n    **Output:** 68\n    **Explanation:** This is the same example as the first but k = 3. We can select engineer 1 engineer 2 and engineer 5 to get the maximum performance of the team. That is performance = (2 + 10 + 5) * min(5 4 7) = 68.\n    \n\n**Example 3:**\n\n    \n    \n    **Input:** n = 6 speed = [2103158] efficiency = [543972] k = 4\n    **Output:** 72\n    \n\n\n\n**Constraints:**\n\n  * `1 <= k <= n <= 105`\n  * `speed.length == n`\n  * `efficiency.length == n`\n  * `1 <= speed[i] <= 105`\n  * `1 <= efficiency[i] <= 108`\n\n,class Solution:\n    def maxPerformance(self n: int speed: List[int] efficiency: List[int] k: int) -> int:\n        l = list(zip(efficiencyspeed))\n        l.sort(reverse=True)\n        h = []\n        res = 0\n        mod = 1000000007\n        mx_sum = 0\n        print(l)\n        for i in range(n):\n            res = max(res  (mx_sum+l[i][1])*l[i][0])\n            if len(h)<k-1:\n                heappush(hl[i][1])\n                mx_sum+=l[i][1]\n            elif k!=1:\n                x=0\n                if h:\n                    x = heappop(h)\n                heappush(hmax(xl[i][1]))\n                mx_sum = mx_sum - x + max(xl[i][1])\n        return res%mod\n            \n
Maximum Points in an Archery Competition,###  2212\. Maximum Points in an Archery Competition\n\nAlice and Bob are opponents in an archery competition. The competition has set\nthe following rules:\n\n  1. Alice first shoots `numArrows` arrows and then Bob shoots `numArrows` arrows.\n  2. The points are then calculated as follows: \n    1. The target has integer scoring sections ranging from `0` to `11` **inclusive**.\n    2. For **each** section of the target with score `k` (in between `0` to `11`) say Alice and Bob have shot `ak` and `bk` arrows on that section respectively. If `ak >= bk` then Alice takes `k` points. If `ak < bk` then Bob takes `k` points.\n    3. However if `ak == bk == 0` then **nobody** takes `k` points.\n\n  * For example if Alice and Bob both shot `2` arrows on the section with score `11` then Alice takes `11` points. On the other hand if Alice shot `0` arrows on the section with score `11` and Bob shot `2` arrows on that same section then Bob takes `11` points.\n\nYou are given the integer `numArrows` and an integer array `aliceArrows` of\nsize `12` which represents the number of arrows Alice shot on each scoring\nsection from `0` to `11`. Now Bob wants to **maximize** the total number of\npoints he can obtain.\n\nReturn _the array_`bobArrows` _which represents the number of arrows Bob shot\non**each** scoring section from _`0` _to_`11`. The sum of the values in\n`bobArrows` should equal `numArrows`.\n\nIf there are multiple ways for Bob to earn the maximum total points return\n**any** one of them.\n\n\n\n**Example 1:**\n\n![](https://assets.leetcode.com/uploads/2022/02/24/ex1.jpg)\n\n    \n    \n    **Input:** numArrows = 9 aliceArrows = [110100210120]\n    **Output:** [000011001231]\n    **Explanation:** The table above shows how the competition is scored. \n    Bob earns a total point of 4 + 5 + 8 + 9 + 10 + 11 = 47.\n    It can be shown that Bob cannot obtain a score higher than 47 points.\n    \n\n**Example 2:**\n\n![](https://assets.leetcode.com/uploads/2022/02/24/ex2new.jpg)\n\n    \n    \n    **Input:** numArrows = 3 aliceArrows = [001000000002]\n    **Output:** [000000001110]\n    **Explanation:** The table above shows how the competition is scored.\n    Bob earns a total point of 8 + 9 + 10 = 27.\n    It can be shown that Bob cannot obtain a score higher than 27 points.\n    \n\n\n\n**Constraints:**\n\n  * `1 <= numArrows <= 105`\n  * `aliceArrows.length == bobArrows.length == 12`\n  * `0 <= aliceArrows[i] bobArrows[i] <= numArrows`\n  * `sum(aliceArrows[i]) == numArrows`\n\n,"// Runtime: 114 ms (Top 97.78%) | Memory: 16.60 MB (Top 73.33%)\n\nclass Solution:\n    def maximumBobPoints(self numArrows: int aliceArrows: List[int]) -> List[int]:\n        max_score = [0 None]\n        def calc(i remaining score arrows):\n		    # Base case. Update max score.\n            if remaining == 0 or i == -1:\n                if score > max_score[0]:\n                    max_score[0] = score\n                    max_score[1] = arrows[:]\n                return\n\n			# Special handling for the last section. Use up all the arrows.\n            if i == 0:\n                arrows[i] = remaining\n                calc(i - 1 0 score + i arrows)\n                arrows[i] = 0\n                return\n\n		    # Try to compete with Alice if there are enough arrows.\n            arrowsNeeded = aliceArrows[i] + 1\n            if remaining >= arrowsNeeded:\n                arrows[i] = arrowsNeeded\n                calc(i - 1 remaining - arrowsNeeded score + i arrows)\n                arrows[i] = 0\n\n            # Skip this section and go to the next section.\n            calc(i - 1 remaining score arrows)\n        \n		# Kick off the recursion\n        calc(len(aliceArrows) - 1 numArrows 0 [0 for _ in aliceArrows])\n        return max_score[1]\n"
Maximum Points You Can Obtain from Cards,###  1423\. Maximum Points You Can Obtain from Cards\n\nThere are several cards **arranged in a row**  and each card has an\nassociated number of points. The points are given in the integer array\n`cardPoints`.\n\nIn one step you can take one card from the beginning or from the end of the\nrow. You have to take exactly `k` cards.\n\nYour score is the sum of the points of the cards you have taken.\n\nGiven the integer array `cardPoints` and the integer `k` return the _maximum\nscore_ you can obtain.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** cardPoints = [1234561] k = 3\n    **Output:** 12\n    **Explanation:** After the first step your score will always be 1. However choosing the rightmost card first will maximize your total score. The optimal strategy is to take the three cards on the right giving a final score of 1 + 6 + 5 = 12.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** cardPoints = [222] k = 2\n    **Output:** 4\n    **Explanation:** Regardless of which two cards you take your score will always be 4.\n    \n\n**Example 3:**\n\n    \n    \n    **Input:** cardPoints = [9779779] k = 7\n    **Output:** 55\n    **Explanation:** You have to take all the cards. Your score is the sum of points of all cards.\n    \n\n\n\n**Constraints:**\n\n  * `1 <= cardPoints.length <= 105`\n  * `1 <= cardPoints[i] <= 104`\n  * `1 <= k <= cardPoints.length`\n\n,// Runtime: 314 ms (Top 86.56%) | Memory: 29.90 MB (Top 66.7%)\n\nclass Solution:\n    def maxScore(self cardPoints: List[int] k: int) -> int:\n        n = len(cardPoints)\n        total = sum(cardPoints)\n        \n        remaining_length = n - k\n        subarray_sum = sum(cardPoints[:remaining_length])\n        \n        min_sum = subarray_sum\n        for i in range(remaining_length n):\n            # Update the sliding window sum to the subarray ending at index i\n            subarray_sum += cardPoints[i]\n            subarray_sum -= cardPoints[i - remaining_length]\n            # Update min_sum to track the overall minimum sum so far\n            min_sum = min(min_sum subarray_sum)\n        return total - min_sum\n
